LEAGUE_ID;TEAM_ID;NICKNAME;CITY;ARENA
0;1610612737;Hawks;Atlanta;State Farm Arena
0;1610612738;Celtics;Boston;TD Garden
0;1610612740;Pelicans;New Orleans;Smoothie King Center
0;1610612741;Bulls;Chicago;United Center
0;1610612742;Mavericks;Dallas;American Airlines Center
0;1610612743;Nuggets;Denver;Pepsi Center
0;1610612745;Rockets;Houston;Toyota Center
0;1610612746;Clippers;Los Angeles;Staples Center
0;1610612747;Lakers;Los Angeles;Staples Center
0;1610612748;Heat;Miami;AmericanAirlines Arena
0;1610612749;Bucks;Milwaukee;Fiserv Forum
0;1610612750;Timberwolves;Minnesota;Target Center
0;1610612751;Nets;Brooklyn;Barclays Center
0;1610612752;Knicks;New York;Madison Square Garden
0;1610612753;Magic;Orlando;Amway Center
0;1610612754;Pacers;Indiana;Bankers Life Fieldhouse
0;1610612755;76ers;Philadelphia;Wells Fargo Center
0;1610612756;Suns;Phoenix;Talking Stick Resort Arena
0;1610612757;Trail Blazers;Portland;Moda Center
0;1610612758;Kings;Sacramento;Golden 1 Center
0;1610612759;Spurs;San Antonio;AT&T Center
0;1610612760;Thunder;Oklahoma City;Chesapeake Energy Arena
0;1610612761;Raptors;Toronto;Scotiabank Arena
0;1610612762;Jazz;Utah;Vivint Smart Home Arena
0;1610612763;Grizzlies;Memphis;FedExForum
0;1610612764;Wizards;Washington;Capital One Arena
0;1610612765;Pistons;Detroit;Little Caesars Arena
0;1610612766;Hornets;Charlotte;Spectrum Center
0;1610612739;Cavaliers;Cleveland;Quicken Loans Arena
0;1610612744;Warriors;Golden State;Chase Center
